Round,Home,Home_Score,Away,Away_Score,Venue,Date,Match_Centre_URL,Home_Win,Year,Month,Day
Round 14,Storm,0,Cowboys,0,AAMI Park,2025-06-06 08:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/storm-v-cowboys/,False,2025,6,6
Round 14,Dolphins,0,Dragons,0,Suncorp Stadium,2025-06-06 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/dolphins-v-dragons/,False,2025,6,6
Round 14,Sharks,0,Warriors,0,Sharks Stadium,2025-06-07 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/sharks-v-warriors/,False,2025,6,7
Round 14,Broncos,0,Titans,0,Suncorp Stadium,2025-06-07 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/broncos-v-titans/,False,2025,6,7
Round 14,Raiders,0,Rabbitohs,0,GIO Stadium,2025-06-08 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/raiders-v-rabbitohs/,False,2025,6,8
Round 14,Wests Tigers,0,Panthers,0,CommBank Stadium,2025-06-08 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/wests-tigers-v-panthers/,False,2025,6,8
Round 14,Bulldogs,0,Eels,0,Accor Stadium,2025-06-09 06:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/bulldogs-v-eels/,False,2025,6,9
Round 15,Sharks,0,Dragons,0,Sharks Stadium,2025-06-12 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-15/sharks-v-dragons/,False,2025,6,12
Round 15,Titans,0,Sea Eagles,0,Cbus Super Stadium,2025-06-13 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-15/titans-v-sea-eagles/,False,2025,6,13
Round 15,Knights,0,Roosters,0,McDonald Jones Stadium,2025-06-14 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-15/knights-v-roosters/,False,2025,6,14
Round 15,Cowboys,0,Dolphins,0,Queensland Country Bank Stadium,2025-06-14 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-15/cowboys-v-dolphins/,False,2025,6,14
Round 15,Rabbitohs,0,Bulldogs,0,Accor Stadium,2025-06-15 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-15/rabbitohs-v-bulldogs/,False,2025,6,15
Round 16,Wests Tigers,0,Raiders,0,Campbelltown Sports Stadium,2025-06-20 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-16/wests-tigers-v-raiders/,False,2025,6,20
Round 16,Warriors,0,Panthers,0,Go Media Stadium,2025-06-21 05:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-16/warriors-v-panthers/,False,2025,6,21
Round 16,Dolphins,0,Knights,0,HBF Park,2025-06-21 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-16/dolphins-v-knights/,False,2025,6,21
Round 16,Rabbitohs,0,Storm,0,Accor Stadium,2025-06-21 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-16/rabbitohs-v-storm/,False,2025,6,21
Round 16,Broncos,0,Sharks,0,Suncorp Stadium,2025-06-22 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-16/broncos-v-sharks/,False,2025,6,22
Round 16,Roosters,0,Cowboys,0,Allianz Stadium,2025-06-22 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-16/roosters-v-cowboys/,False,2025,6,22
Round 16,Eels,0,Titans,0,CommBank Stadium,2025-06-22 08:15:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-16/eels-v-titans/,False,2025,6,22
Round 17,Panthers,0,Bulldogs,0,CommBank Stadium,2025-06-26 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/panthers-v-bulldogs/,False,2025,6,26
Round 17,Sea Eagles,0,Wests Tigers,0,4 Pines Park,2025-06-27 08:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/sea-eagles-v-wests-tigers/,False,2025,6,27
Round 17,Knights,0,Raiders,0,McDonald Jones Stadium,2025-06-27 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/knights-v-raiders/,False,2025,6,27
Round 17,Broncos,0,Warriors,0,Suncorp Stadium,2025-06-28 05:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/broncos-v-warriors/,False,2025,6,28
Round 17,Dragons,0,Eels,0,WIN Stadium,2025-06-28 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/dragons-v-eels/,False,2025,6,28
