Year,Round,HomeTeam,HomeScore,AwayTeam,AwayScore,Venue,Date,MatchCentreURL
2024,Round 22,Dolphins,34,Roosters,40,HBF Park,2024-08-02T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-22/dolphins-v-roosters/
2024,Round 22,Titans,46,Broncos,18,Cbus Super Stadium,2024-08-03T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-22/titans-v-broncos/
2024,Round 22,Storm,16,Dragons,18,AAMI Park,2024-08-03T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-22/storm-v-dragons/
2024,Round 22,Sharks,20,Rabbitohs,6,PointsBet Stadium,2024-08-03T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-22/sharks-v-rabbitohs/
2024,Round 22,Panthers,22,Knights,14,BlueBet Stadium,2024-08-04T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-22/panthers-v-knights/
2024,Round 22,Bulldogs,22,Raiders,18,Belmore Sports Ground,2024-08-04T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-22/bulldogs-v-raiders/
2024,Round 23,Rabbitohs,16,Storm,28,Accor Stadium,2024-08-08T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/rabbitohs-v-storm/
2024,Round 23,Titans,0,Sharks,44,Cbus Super Stadium,2024-08-09T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/titans-v-sharks/
2024,Round 23,Eels,34,Panthers,36,CommBank Stadium,2024-08-09T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/eels-v-panthers/
2024,Round 23,Raiders,24,Sea Eagles,46,GIO Stadium,2024-08-10T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/raiders-v-sea-eagles/
2024,Round 23,Cowboys,18,Broncos,42,Queensland Country Bank Stadium,2024-08-10T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/cowboys-v-broncos/
2024,Round 23,Dragons,10,Bulldogs,28,Netstrata Jubilee Stadium,2024-08-10T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/dragons-v-bulldogs/
2024,Round 23,Dolphins,34,Warriors,32,Suncorp Stadium,2024-08-11T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/dolphins-v-warriors/
2024,Round 23,Knights,34,Wests Tigers,18,McDonald Jones Stadium,2024-08-11T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-23/knights-v-wests-tigers/
2024,Round 24,Panthers,22,Storm,24,BlueBet Stadium,2024-08-15T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/panthers-v-storm/
2024,Round 24,Sea Eagles,24,Warriors,10,4 Pines Park,2024-08-16T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/sea-eagles-v-warriors/
2024,Round 24,Roosters,38,Eels,14,Allianz Stadium,2024-08-16T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/roosters-v-eels/
2024,Round 24,Bulldogs,30,Dolphins,10,Salter Oval,2024-08-17T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/bulldogs-v-dolphins/
2024,Round 24,Cowboys,42,Raiders,4,Queensland Country Bank Stadium,2024-08-17T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/cowboys-v-raiders/
2024,Round 24,Wests Tigers,18,Rabbitohs,16,Campbelltown Sports Stadium,2024-08-17T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/wests-tigers-v-rabbitohs/
2024,Round 24,Dragons,32,Titans,16,WIN Stadium,2024-08-18T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/dragons-v-titans/
2024,Round 24,Sharks,19,Knights,18,PointsBet Stadium,2024-08-18T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-24/sharks-v-knights/
2024,Round 25,Wests Tigers,34,Sea Eagles,26,Leichhardt Oval,2024-08-22T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/wests-tigers-v-sea-eagles/
2024,Round 25,Warriors,18,Bulldogs,34,Go Media Stadium,2024-08-23T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/warriors-v-bulldogs/
2024,Round 25,Broncos,30,Eels,24,Suncorp Stadium,2024-08-23T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/broncos-v-eels/
2024,Round 25,Raiders,22,Panthers,18,GIO Stadium,2024-08-24T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/raiders-v-panthers/
2024,Round 25,Storm,48,Dolphins,6,AAMI Park,2024-08-24T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/storm-v-dolphins/
2024,Round 25,Rabbitohs,16,Knights,36,Accor Stadium,2024-08-24T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/rabbitohs-v-knights/
2024,Round 25,Titans,22,Roosters,48,Cbus Super Stadium,2024-08-25T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/titans-v-roosters/
2024,Round 25,Dragons,10,Sharks,38,WIN Stadium,2024-08-25T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2024/round-25/dragons-v-sharks/
